run_id,item_id,type,intended_reading,source,doc_id,arm,gt_value,text_sent,clip,tts_cached,snr_db,scorer,pass_1,transcript_1,pass_2,transcript_2,matched_pass,recovered,asr_cached,error
20260906T131218Z,rupee_amount_01,rupee_amount,cardinal,sanctioned_amount_inr,SAMJHA-2026-001,baseline,125000,"आपके लोन की कुल स्वीकृत राशि ₹1,25,000 है।",evals/results/clips/baseline/e230a71cbf5e.tel.wav,True,,deepgram,default,आपके loan की कुल स्वीकृति राशि एक लाख पच्चीस हज़ार रुपए है.,,,default,True,True,
20260906T131218Z,rupee_amount_01,rupee_amount,cardinal,sanctioned_amount_inr,SAMJHA-2026-001,samjha,125000,आपके लोन की कुल स्वीकृत राशि एक लाख पच्चीस हज़ार रुपए है।,evals/results/clips/samjha/d9643f173d7f.tel.wav,True,,deepgram,default,आपके loan की कुल secret राशि एक लाख पच्चीस हज़ार रुपए है.,,,default,True,True,
20260906T131218Z,rupee_amount_02,rupee_amount,cardinal,total_repayment_inr,SAMJHA-2026-001,baseline,163800,"बैंक ने आपको ₹1,63,800 का ऋण मंज़ूर किया है।",evals/results/clips/baseline/f00701aeb083.tel.wav,True,,deepgram,default,Bank ने आपको एक लाख तिरसठ हज़ार आठ सौ रुपए का ऋण मंजूर किया है.,,,default,True,True,
20260906T131218Z,rupee_amount_02,rupee_amount,cardinal,total_repayment_inr,SAMJHA-2026-001,samjha,163800,बैंक ने आपको एक लाख तिरेसठ हज़ार आठ सौ रुपए का ऋण मंज़ूर किया है।,evals/results/clips/samjha/1a9a0acda020.tel.wav,True,,deepgram,default,Bank ने आपको एक लाख छियासठ हज़ार आठ सौ रुपए का ऋण मंजूर किया है.,,,,False,True,
20260906T131218Z,percentage_apr_01,percentage_apr,cardinal,apr_pct,SAMJHA-2026-001,baseline,21.1,आपके लोन की वार्षिक ब्याज दर 21.1% है।,evals/results/clips/baseline/b20c32dba34c.tel.wav,True,,deepgram,default,आपके loan की वार्षिक ब्याज दर इक्कीस दशमलव एक प्रतिशत है.,,,default,True,True,
20260906T131218Z,percentage_apr_01,percentage_apr,cardinal,apr_pct,SAMJHA-2026-001,samjha,21.1,आपके लोन की वार्षिक ब्याज दर इक्कीस दशमलव एक प्रतिशत है।,evals/results/clips/samjha/0787094559ae.tel.wav,True,,deepgram,default,आपके loan की वार्षिक ब्याज दर इक्कीस दशमलव एक प्रतिशत है.,,,default,True,True,
20260906T131218Z,percentage_apr_02,percentage_apr,cardinal,interest.pct,SAMJHA-2026-001,baseline,18.5,सालाना प्रतिशत दर यानी एपीआर 18.5% है।,evals/results/clips/baseline/0caa43c5c250.tel.wav,True,,deepgram,default,सालाना प्रतिशत दर यानी APR अठारह. पांच प्रतिशत है.,,,default,True,True,
20260906T131218Z,percentage_apr_02,percentage_apr,cardinal,interest.pct,SAMJHA-2026-001,samjha,18.5,"सालाना प्रतिशत दर यानी एपीआर अट्ठारह दशमलव पाँच प्रतिशत, यानी साढ़े अट्ठारह प्रतिशत है।",evals/results/clips/samjha/b0d17b0f8208.tel.wav,True,,deepgram,default,सालाना प्रतिशत दर यानी APR eighteen.5% यानी साढ़े अठारह प्रतिशत है.,,,default,True,True,
20260906T131218Z,tenure_months_01,tenure_months,cardinal,loan_term_months,SAMJHA-2026-001,baseline,36,इस लोन की अवधि 36 महीने है।,evals/results/clips/baseline/c2fd8bd0399b.tel.wav,True,,deepgram,default,इस loan की अवधि छत्तीस महीने है.,,,default,True,True,
20260906T131218Z,tenure_months_01,tenure_months,cardinal,loan_term_months,SAMJHA-2026-001,samjha,36,"इस लोन की अवधि छत्तीस महीने, यानी तीन साल है।",evals/results/clips/samjha/ebf826118927.tel.wav,True,,deepgram,default,इस loan की अवधि छत्तीस महीने यानी तीन साल है.,,,default,True,True,
20260906T131218Z,tenure_months_02,tenure_months,cardinal,corpus (quoted alternate period),SAMJHA-2026-001,baseline,6,आपको यह ऋण 6 महीने में चुकाना है।,evals/results/clips/baseline/3f73cf6e8844.tel.wav,True,,deepgram,default,आपको year end छह महीने में चुकाना है.,,,default,True,True,
20260906T131218Z,tenure_months_02,tenure_months,cardinal,corpus (quoted alternate period),SAMJHA-2026-001,samjha,6,आपको यह ऋण छः महीने में चुकाना है।,evals/results/clips/samjha/1a3005b03eb5.tel.wav,True,,deepgram,default,आपको यह ऋण छह महीने में चुकाना है.,,,default,True,True,
20260906T131218Z,emi_amount_01,emi_amount,cardinal,instalments.epi_amount_inr,SAMJHA-2026-001,baseline,4550,"आपकी हर महीने की किश्त ₹4,550 होगी।",evals/results/clips/baseline/0988ea8496b4.tel.wav,True,,deepgram,default,आपकी हर महीने की किश्त चार हज़ार पांच सौ पचास रुपए होगी.,,,default,True,True,
20260906T131218Z,emi_amount_01,emi_amount,cardinal,instalments.epi_amount_inr,SAMJHA-2026-001,samjha,4550,आपकी हर महीने की किश्त चार हज़ार पाँच सौ पचास रुपए होगी।,evals/results/clips/samjha/0f0ff9486b43.tel.wav,True,,deepgram,default,आपकी हर महीने की किश्त चार हज़ार पांच सौ पचास रुपए होगी.,,,default,True,True,
20260906T131218Z,emi_amount_02,emi_amount,cardinal,fees[0].amount_inr,SAMJHA-2026-001,baseline,2500,"मासिक किश्त ₹2,500 बनती है।",evals/results/clips/baseline/5dff3373912b.tel.wav,True,,deepgram,default,मासिक किश्त दो हज़ार पांच सौ रुपए बनती है.,,,default,True,True,
20260906T131218Z,emi_amount_02,emi_amount,cardinal,fees[0].amount_inr,SAMJHA-2026-001,samjha,2500,मासिक किश्त दो हज़ार पाँच सौ रुपए बनती है।,evals/results/clips/samjha/8e3cbf14a58c.tel.wav,True,,deepgram,default,मासिक किश्त दो हज़ार पांच सौ रुपए बनती है.,,,default,True,True,
20260906T131218Z,account_identifier_01,account_identifier,digit_by_digit,loan_account_no,SAMJHA-2026-001,baseline,000512348899,आपके लोन खाते की संख्या 000512348899 है।,evals/results/clips/baseline/348095f3dca2.tel.wav,True,,deepgram,default,आपके loan खाते की संख्या 0 सौ पांच बारह तीन तीन सौ देकर.,,,,False,True,
20260906T131218Z,account_identifier_01,account_identifier,digit_by_digit,loan_account_no,SAMJHA-2026-001,samjha,000512348899,आपके लोन खाते की संख्या शून्य शून्य शून्य पाँच एक दो तीन चार आठ आठ नौ नौ है।,evals/results/clips/samjha/93a1efe34257.tel.wav,True,,deepgram,default,आपके loan खाते की संख्या शून्य शून्य शून्य पांच एक दो तीन चार आठ आठ नौ नौ है.,,,default,True,True,
20260906T131218Z,account_identifier_02,account_identifier,digit_by_digit,corpus (second identifier),SAMJHA-2026-001,baseline,30201045678900,कृपया अपना खाता नंबर 30201045678900 जाँच लीजिए।,evals/results/clips/baseline/5cc82a782f82.tel.wav,True,,deepgram,default,कृपया अपना खाता number तीन चार करोड़ छप्पन लाख अठहत्तर हज़ार नौ सौ जांच लीजिए.,,,,False,True,
20260906T131218Z,account_identifier_02,account_identifier,digit_by_digit,corpus (second identifier),SAMJHA-2026-001,samjha,30201045678900,कृपया अपना खाता नंबर तीन शून्य दो शून्य एक शून्य चार पाँच छः सात आठ नौ शून्य शून्य जाँच लीजिए।,evals/results/clips/samjha/0c11718c77e8.tel.wav,True,,deepgram,default,कृपया अपना खाता number तीन शून्य दो शून्य एक शून्य चार पांच छह सात आठ नौ शून्य शून्य जांच लीजिए.,,,default,True,True,
20260906T131218Z,date_deadline_01,date_deadline,cardinal,first EPI due,SAMJHA-2026-001,baseline,2026-04-15,आपकी पहली किश्त की तारीख़ 15 अप्रैल 2026 है।,evals/results/clips/baseline/cef62c996b3f.tel.wav,True,,deepgram,default,आपकी पहली किश्त की तारीख़ पंद्रह April दो हज़ार छब्बीस है.,,,default,True,True,
20260906T131218Z,date_deadline_01,date_deadline,cardinal,first EPI due,SAMJHA-2026-001,samjha,2026-04-15,आपकी पहली किश्त की तारीख़ पंद्रह अप्रैल दो हज़ार छब्बीस है।,evals/results/clips/samjha/878c4956ddad.tel.wav,True,,deepgram,default,आपकी पहली किश्त की तारीख़ पंद्रह April दो हज़ार छब्बीस है.,,,default,True,True,
20260906T131218Z,date_deadline_02,date_deadline,cardinal,final EPI due,SAMJHA-2026-001,baseline,2029-03-15,भुगतान की अंतिम तिथि 15 मार्च 2029 है।,evals/results/clips/baseline/86fb66e97185.tel.wav,True,,deepgram,default,भुगतान की अंतिम तिथि पंद्रह March दो हज़ार उनतीस है.,,,default,True,True,
20260906T131218Z,date_deadline_02,date_deadline,cardinal,final EPI due,SAMJHA-2026-001,samjha,2029-03-15,भुगतान की अंतिम तिथि पंद्रह मार्च दो हज़ार उनतीस है।,evals/results/clips/samjha/bd1f33c0b63b.tel.wav,True,,deepgram,default,भुगतान की अंतिम तिथि पंद्रह March दो हज़ार उनतीस है.,,,default,True,True,
20260906T131218Z,rupee_amount_03,rupee_amount,cardinal,sanctioned_amount_inr,SAMJHA-2026-002,baseline,80000,"आपके खाते में ₹80,000 जमा किए जाएँगे।",evals/results/clips/baseline/d85af2ab6d6a.tel.wav,True,,deepgram,default,आपके खाते में अस्सी हज़ार रुपए जमा किए जाएंगे.,,,default,True,True,
